moisture,temperature,humidity,light,moisture_trend,temperature_trend,humidity_trend,light_trend,label
25.05,32.32,25.63,239.68,-9.68,5.47,-3.86,20.8,attention
15.93,20.42,36.09,722.14,-19.22,1.89,2.1,0.92,critical
59.04,20.47,63.64,594.72,2.26,0.88,-2.66,-44.77,normal
55.63,32.94,39.74,581.83,2.95,6.55,0.14,-23.51,attention
29.01,22.21,55.3,781.25,-5.46,0.94,-1.64,-38.68,attention
48.75,25.93,49.11,556.54,2.82,-1.64,2.46,-23.49,normal
45.9,26.98,38.22,196.92,-3.85,0.03,-3.75,-181.7,attention
48.2,26.09,43.75,261.64,1.81,1.35,0.64,19.19,normal
42.21,21.83,49.08,294.31,-1.13,-1.96,-2.91,37.83,normal
41.19,21.18,39.55,547.74,-2.87,-1.8,3.56,43.7,normal
46.58,26.76,37.39,99.46,-1.81,1.2,-0.5,-227.21,critical
7.77,23.86,55.16,450.34,-17.16,-0.43,0.4,-1.09,critical
47.7,43.18,47.72,589.34,3.9,9.74,0.34,-10.41,critical
47.8,32.54,41.82,763.37,3.01,7.12,0.01,-27.3,attention
40.64,21.37,46.75,649.78,1.8,1.72,-0.79,18.74,normal
53.22,23.59,50.21,178.37,-0.2,-1.93,-1.35,-76.58,attention
40.68,38.66,62.49,520.59,-0.12,10.26,-1.01,-53.26,critical
52.75,25.27,26.92,816.1,-2.92,1.9,-6.56,39.1,attention
44.32,24.23,45.44,652.18,-1.92,0.19,-2.1,-3.44,normal
40.86,27.84,49.85,858.93,-3.95,-0.47,-0.43,-27.96,normal
67.73,23.72,53.68,492.89,3.34,-0.45,2.2,21.47,normal
56.56,36.2,52.74,710.93,-3.63,4.9,-1.68,-50.42,attention
62.63,33.99,63.01,565.0,-1.17,4.0,-1.85,53.65,attention
56.15,38.39,63.77,548.33,2.49,10.25,3.86,-49.88,critical
49.29,23.08,40.56,459.45,-1.4,1.77,0.77,46.0,normal
53.31,31.62,50.79,839.79,-1.2,4.28,2.55,37.8,attention
39.38,22.61,8.01,814.26,2.19,-0.76,-11.23,-5.19,critical
51.33,41.68,57.71,547.31,0.27,11.68,2.47,-3.72,critical
52.38,26.78,8.92,699.78,-2.7,-1.71,-16.74,-24.61,critical
61.37,23.18,56.17,664.31,2.49,-1.75,2.21,-5.08,normal
42.93,27.86,43.07,371.65,-2.72,0.24,3.67,-32.18,normal
54.72,20.21,43.04,390.14,1.17,1.69,2.78,-48.9,normal
62.65,26.25,47.63,159.56,3.31,0.27,1.74,-55.38,attention
28.19,24.03,55.37,486.67,-8.82,0.97,-0.51,-4.83,attention
47.4,26.07,56.65,56.28,-1.79,-0.56,1.44,-233.9,critical
39.59,19.51,21.94,762.74,3.87,0.73,-7.13,-52.56,attention
58.58,42.73,56.9,774.62,0.44,6.06,-2.43,36.0,critical
67.42,23.81,62.3,638.81,1.3,-1.66,-0.57,44.02,normal
43.58,23.66,62.49,30.02,2.2,0.82,-2.28,-287.43,critical
48.97,26.12,36.4,603.41,-0.36,0.69,1.38,10.15,normal
38.42,23.81,43.96,130.26,0.43,0.79,-2.99,-217.79,attention
54.42,20.18,60.72,121.63,3.15,1.05,-3.63,-52.7,attention
58.84,26.9,49.19,73.48,0.66,1.48,2.78,-152.65,critical
27.69,32.21,33.61,236.95,-3.45,4.71,-2.89,12.3,attention
51.27,21.5,64.91,538.97,2.51,1.88,-0.24,-11.0,normal
15.57,21.83,40.06,437.26,-13.47,0.21,0.8,12.91,critical
41.46,19.96,52.04,434.3,0.84,0.87,-2.37,16.11,normal
63.5,26.16,47.53,879.6,2.6,-0.02,-1.42,-25.97,normal
17.02,25.33,53.74,891.83,-21.85,-1.97,2.54,-24.07,critical
42.0,23.18,51.4,617.71,-1.46,1.02,-0.46,37.8,normal
57.85,46.35,54.95,482.57,-2.57,10.54,0.23,27.34,critical
59.74,27.79,51.21,441.12,-3.2,-1.22,-2.18,-38.47,normal
59.04,21.49,36.29,866.76,-3.32,0.88,-0.09,30.98,normal
56.27,26.0,60.11,882.8,-1.14,-0.36,-2.72,5.78,normal
54.33,20.56,54.96,493.79,1.23,1.34,0.13,-14.84,normal
64.76,22.84,27.28,545.38,-2.73,1.45,-7.31,30.21,attention
54.49,20.1,49.96,451.24,-1.12,-1.79,1.33,56.79,normal
38.6,26.02,25.78,265.69,3.29,0.59,-3.51,-58.98,attention
50.1,26.02,51.2,623.95,-2.61,1.5,-2.39,-53.08,normal
67.0,24.78,50.23,367.67,2.36,-1.32,1.76,-1.4,normal
20.0,27.18,49.97,405.36,-6.66,-0.77,-0.7,-41.31,attention
61.76,22.38,54.57,753.6,0.99,0.38,-3.62,-47.03,normal
67.53,23.16,44.17,504.4,0.22,1.87,2.54,36.15,normal
47.89,33.43,52.61,427.39,-1.12,5.51,1.34,-4.15,attention
50.15,20.66,54.57,120.45,-3.77,0.46,-2.42,-181.34,attention
38.64,26.08,43.06,340.59,0.52,-1.73,2.12,-35.14,normal
7.59,39.98,8.23,55.44,-8.33,6.14,-8.56,-140.93,critical
62.0,46.41,50.16,434.68,-0.11,11.52,1.35,35.78,critical
40.91,24.65,37.14,764.71,-3.73,-0.54,-2.95,49.16,normal
15.01,25.51,38.94,423.77,-10.01,1.95,-1.63,-4.29,critical
15.49,40.81,23.05,59.43,-15.8,6.02,-8.77,-153.93,critical
25.6,25.73,62.68,654.29,-10.54,-1.13,3.17,-43.2,attention
3.47,25.86,62.72,484.65,-15.51,-1.43,1.26,-51.65,critical
63.57,22.24,55.63,532.64,-3.07,1.4,3.12,-58.84,normal
47.48,22.26,19.88,677.01,-1.97,1.42,-13.23,-16.12,critical
64.79,20.26,63.01,463.86,-0.86,0.47,2.74,11.25,normal
28.52,19.35,58.73,582.13,-7.03,-0.07,-2.96,12.42,attention
67.05,24.4,46.2,629.87,-2.3,0.63,-2.21,-47.01,normal
29.23,29.15,33.42,245.38,-4.2,2.93,-1.87,-12.91,attention
45.13,25.71,62.7,834.1,-3.84,1.27,-1.58,-26.36,normal
49.95,21.87,57.31,665.06,3.74,1.13,-1.39,-26.36,normal
62.6,19.67,52.47,190.07,3.71,-1.05,-1.91,-87.64,attention
8.64,44.29,22.63,27.37,-14.57,7.38,-12.41,-207.52,critical
56.11,26.26,57.16,603.19,3.78,-0.49,0.42,39.53,normal
8.18,42.91,21.61,24.1,-7.1,7.51,-6.79,-82.55,critical
64.23,24.77,55.64,303.78,0.51,0.44,-2.69,-17.86,normal
65.24,26.53,52.71,532.31,-1.96,1.06,3.28,-49.94,normal
60.53,47.17,39.09,532.09,-2.59,6.73,0.14,-53.97,critical
3.5,22.65,52.39,893.75,-17.93,0.74,2.78,18.45,critical
59.97,22.93,54.54,571.81,-1.46,0.83,0.5,46.75,normal
66.38,19.18,61.54,173.82,-0.18,1.77,-1.61,-87.77,attention
52.85,33.32,50.49,640.12,0.23,7.19,3.9,52.07,attention
56.22,25.73,39.32,159.67,3.72,-1.57,-3.79,-91.3,attention
27.57,28.2,31.0,221.27,-8.38,3.09,-3.91,42.07,attention
43.7,43.52,57.66,742.77,3.32,10.65,1.63,-12.4,critical
13.76,42.1,19.37,103.69,-12.13,8.5,-5.63,-125.08,critical
48.15,42.72,56.21,712.35,-2.71,9.6,-3.96,-49.07,critical
54.73,22.29,40.18,61.93,-0.79,-1.84,-3.69,-284.25,critical
40.4,20.5,38.99,300.83,3.03,0.19,-3.79,-12.36,normal
40.91,22.88,48.28,558.9,1.83,0.69,3.87,-48.19,normal
46.53,23.31,45.88,17.41,-1.98,1.45,-3.09,-168.93,critical
48.45,19.88,14.72,549.57,-3.46,-1.82,-9.87,-57.29,critical
53.44,21.53,15.8,360.71,0.82,1.27,-12.22,-10.25,critical
16.14,38.55,17.78,90.26,-14.32,7.57,-12.39,-183.84,critical
13.55,40.63,17.69,30.91,-10.18,10.12,-8.84,-113.9,critical
54.92,24.1,60.63,693.3,0.32,-0.46,1.92,34.86,normal
40.73,24.44,53.95,454.94,0.07,-1.17,1.37,54.04,normal
52.72,45.13,63.29,536.38,1.44,6.49,-3.31,14.23,critical
30.65,30.98,30.11,184.44,-3.98,3.08,-1.82,-52.34,attention
46.84,24.96,53.41,387.79,-3.79,-1.32,-1.67,-50.17,normal
46.81,23.24,57.49,724.12,0.47,1.65,3.58,47.95,normal
44.99,33.44,45.58,562.34,1.45,7.68,3.72,57.35,attention
50.27,25.92,58.21,157.56,1.17,-0.32,3.94,-97.11,attention
26.7,21.82,40.39,701.92,-9.33,1.1,3.36,44.74,attention
63.76,19.43,22.47,364.54,-2.28,-0.98,-8.76,-48.44,attention
61.58,22.29,63.03,214.3,3.98,-1.28,2.14,-182.26,attention
7.61,37.12,19.26,121.11,-12.31,9.36,-9.85,-149.24,critical
44.11,23.97,52.17,374.38,0.47,-0.06,3.91,9.32,normal
61.93,26.48,14.88,802.58,2.36,0.69,-9.42,-23.66,critical
32.86,30.0,30.83,191.31,-7.55,5.89,-1.98,42.19,attention
44.41,22.61,37.7,502.54,3.88,-0.94,2.27,-5.4,normal
18.43,38.75,11.04,47.57,-9.42,9.6,-8.51,-234.01,critical
52.12,20.8,62.64,483.78,2.56,1.49,-2.22,19.2,normal
57.9,33.52,62.1,584.56,1.34,7.7,1.58,6.53,attention
18.12,43.39,12.6,93.09,-7.03,7.33,-5.48,-74.59,critical
6.6,38.52,17.59,102.09,-18.09,5.42,-7.5,-97.66,critical
22.3,19.46,46.45,387.43,-9.6,-0.14,-0.82,50.77,attention
54.86,21.44,39.17,734.17,-2.09,-1.8,3.24,-32.92,normal
61.67,19.67,64.73,566.71,-0.79,0.03,3.36,23.01,normal
45.07,27.95,46.87,278.04,3.45,1.36,1.2,34.97,normal
60.95,19.75,24.21,359.38,1.24,1.54,-10.86,-30.31,attention
50.92,27.46,22.54,847.55,0.2,-1.04,-8.43,-29.71,attention
45.3,24.3,51.19,513.29,-1.52,-0.64,-1.34,-39.82,normal
24.66,26.8,51.12,553.15,-5.81,-1.76,-0.17,-11.81,attention
57.17,24.48,40.43,748.01,0.32,1.11,0.24,-59.93,normal
65.52,32.06,64.9,400.42,2.77,5.96,-1.16,40.71,attention
44.65,42.92,60.07,877.24,-1.66,10.93,1.62,-54.51,critical
66.16,25.73,19.11,548.18,-2.66,1.42,-9.59,-31.84,critical
48.8,21.43,25.27,379.93,-0.41,0.22,-6.63,-56.85,attention
14.92,39.58,15.07,94.32,-12.84,9.76,-5.44,-120.17,critical
66.77,25.14,45.31,846.2,3.56,-0.46,0.32,-26.06,normal
67.21,23.47,50.43,851.56,0.15,1.2,1.82,-50.53,normal
51.02,19.89,54.38,818.45,-0.45,0.78,3.23,-54.48,normal
63.44,22.09,49.61,89.8,3.38,1.79,-0.18,-176.72,critical
57.48,23.7,46.74,45.05,0.24,-1.08,2.42,-126.89,critical
44.32,24.67,42.18,74.66,2.69,-1.18,2.63,-94.46,critical
20.81,19.18,62.94,822.38,-9.63,-0.77,-3.54,45.36,attention
66.45,23.85,53.13,552.19,1.99,1.51,-0.52,16.77,normal
57.64,24.15,49.72,98.96,-0.78,0.47,1.45,-240.44,critical
56.87,24.58,60.39,354.58,1.45,-1.87,3.59,-46.81,normal
64.08,25.83,40.63,19.67,-1.78,-1.14,2.11,-116.6,critical
29.2,33.27,29.97,187.2,-7.25,4.1,-2.48,-40.88,attention
62.14,46.28,44.34,717.05,-1.23,7.63,-1.95,-2.51,critical
28.32,31.32,28.44,259.73,-6.15,3.73,1.53,-23.26,attention
41.82,21.77,62.07,769.52,2.89,1.6,-2.32,-30.06,normal
17.2,39.33,15.44,76.15,-14.45,8.01,-8.71,-98.88,critical
61.02,25.88,44.39,336.79,-0.02,-0.28,-2.97,3.91,normal
52.46,26.26,57.65,106.73,-3.08,1.85,-2.87,-126.9,critical
5.87,40.97,13.3,28.56,-15.14,6.92,-9.0,-77.01,critical
40.08,25.85,58.21,106.44,-0.2,0.2,-1.88,-97.06,critical
18.84,40.18,9.64,76.27,-10.73,10.06,-11.88,-137.0,critical
51.74,26.86,58.81,658.76,0.18,-0.32,-0.68,-42.22,normal
54.58,19.51,36.27,369.69,-0.0,-0.26,2.28,7.9,normal
42.96,31.47,45.3,471.77,-1.77,5.22,0.4,-14.56,attention
63.47,25.54,6.4,599.08,-2.09,-0.03,-6.94,59.64,critical
54.31,26.12,21.58,833.12,0.3,0.55,-6.49,32.27,attention
40.23,27.66,5.08,336.39,-3.67,-0.88,-12.4,-40.69,critical
6.59,43.89,13.11,128.68,-15.16,7.39,-7.63,-162.15,critical
55.95,23.89,43.48,185.45,1.95,-1.97,0.18,-96.2,attention
41.76,21.85,38.15,558.13,0.14,-1.49,2.63,6.16,normal
5.04,40.7,20.91,99.56,-14.46,9.9,-7.8,-150.12,critical
40.47,24.98,54.82,293.14,1.0,0.9,2.04,-8.49,normal
32.28,28.99,29.38,212.87,-5.27,3.33,-2.55,23.14,attention
56.8,41.83,38.25,442.87,-1.83,6.92,0.32,-43.4,critical
67.72,39.21,47.73,549.41,1.98,6.37,-0.3,36.47,critical
28.78,19.86,51.32,287.23,-7.84,1.47,3.1,-2.94,attention
58.49,23.48,52.91,100.12,1.1,-0.16,1.33,-157.37,critical
4.24,24.38,56.4,291.15,-8.1,-0.39,-2.13,-33.93,critical
50.08,36.25,60.99,419.14,-2.48,3.38,-0.62,-26.57,attention
65.31,25.19,49.94,134.91,-3.9,-1.64,-3.12,-203.79,attention
22.65,26.27,51.61,569.44,-9.94,0.92,-1.85,42.21,attention
47.65,32.34,56.89,433.61,-3.38,5.58,0.02,48.23,attention
59.63,20.94,49.1,406.24,-1.29,-0.19,-0.67,-48.59,normal
27.25,30.66,28.77,218.69,-8.3,3.69,-1.94,4.55,attention
8.43,41.76,17.91,66.11,-11.83,8.14,-5.72,-221.19,critical
61.68,23.56,54.23,580.67,-0.68,0.81,-3.34,4.39,normal
42.63,25.41,54.38,733.38,-1.47,-1.57,-3.96,-23.01,normal
40.44,21.16,15.6,360.18,-0.73,0.76,-9.56,-56.08,critical
51.61,40.16,42.69,721.62,-1.48,8.91,3.61,22.82,critical
39.61,20.34,52.32,454.45,3.95,-1.53,2.12,12.76,normal
48.38,27.47,14.22,801.4,-2.0,0.54,-16.88,-44.98,critical
51.61,25.03,57.55,865.42,-0.65,0.97,-2.76,-10.21,normal
33.29,30.63,29.69,204.33,-7.18,3.45,-1.54,29.87,attention
22.04,22.58,40.0,812.85,-10.39,-1.08,2.26,53.91,attention
64.92,23.68,56.32,498.39,3.8,-1.66,-3.24,-43.98,normal
56.41,25.88,51.7,287.05,-0.14,0.48,-0.06,58.24,normal
40.05,22.98,44.78,435.79,-3.55,0.03,-1.52,-5.77,normal
61.74,22.49,17.52,824.19,-3.68,0.59,-14.84,56.21,critical
59.49,21.15,47.48,689.88,-1.6,-0.74,2.01,-51.29,normal
42.15,24.82,21.74,832.5,3.64,-0.93,-8.39,-15.29,attention
4.17,21.53,51.62,467.14,-12.0,-0.84,-1.86,42.96,critical
19.92,37.53,14.37,98.86,-13.3,7.46,-11.5,-150.77,critical
26.24,30.2,28.14,202.3,-3.28,2.59,-1.02,31.57,attention
47.54,21.45,38.17,41.4,2.24,0.34,-2.76,-291.02,critical
58.38,27.58,40.14,648.85,2.25,-1.86,-3.46,33.42,normal
23.83,26.59,47.39,350.99,-7.25,0.51,-1.0,-50.94,attention
24.32,19.94,40.66,523.45,-11.17,0.65,-0.8,31.26,attention
50.67,41.83,38.05,505.16,1.85,10.88,-1.49,45.72,critical
64.85,42.78,45.02,335.15,3.33,8.73,0.92,-33.7,critical
40.74,19.86,27.76,309.88,0.75,0.08,-3.11,-59.03,attention
49.42,20.25,44.73,575.6,-3.49,-0.26,-0.63,-1.89,normal
55.64,25.83,28.34,851.95,0.5,-1.6,-9.62,4.28,attention
51.6,43.34,40.72,487.37,1.36,7.47,1.47,-51.43,critical
67.11,23.88,41.09,284.3,-3.55,0.41,-3.84,-2.64,normal
55.42,24.18,48.93,510.33,2.18,0.35,0.0,-18.6,normal
50.65,20.21,61.9,663.62,0.27,-0.74,-0.11,-29.88,normal
65.34,25.34,24.26,743.27,0.37,0.41,-3.15,55.71,attention
63.96,34.43,50.05,472.76,2.1,4.17,3.46,44.35,attention
50.66,33.7,42.34,583.43,-3.79,4.39,1.2,5.39,attention
61.27,42.95,57.6,711.35,2.49,6.22,1.31,38.49,critical
49.65,43.55,52.67,530.74,-0.11,8.94,3.35,51.68,critical
58.23,27.04,51.48,821.59,-0.62,-1.95,-3.15,-14.3,normal
50.88,24.53,42.98,526.6,1.31,-1.66,3.8,-51.88,normal
51.77,47.97,43.15,619.28,-1.9,6.83,3.18,-12.07,critical
59.29,23.95,24.83,451.97,-2.74,0.84,-10.91,-39.11,attention
40.13,21.14,55.4,90.75,-2.94,1.74,0.57,-274.3,critical
30.74,33.27,32.28,245.7,-3.37,3.26,3.67,11.92,attention
46.41,23.89,55.09,102.89,2.8,-1.94,-2.34,-248.17,critical
27.56,23.55,50.35,698.21,-12.02,1.36,-0.09,-50.08,attention
67.69,19.92,60.07,740.86,-1.62,2.0,-0.4,-18.17,normal
42.52,27.93,45.94,891.8,3.14,1.95,-2.85,43.49,normal
20.18,21.58,60.06,705.49,-12.06,0.82,-0.41,-59.37,attention
49.42,23.8,46.42,427.4,0.1,-0.01,-3.21,57.76,normal
42.67,35.53,37.44,312.21,-0.46,3.57,0.86,-10.3,attention
43.76,28.0,40.49,449.31,2.3,0.03,0.32,28.64,normal
18.83,44.85,8.14,93.58,-13.76,10.43,-9.25,-141.98,critical
38.74,19.94,48.06,198.43,-3.07,1.76,-2.87,-126.2,attention
40.31,21.27,43.15,153.22,0.75,-1.22,-3.14,-108.37,attention
26.95,29.25,34.07,204.26,-3.64,3.24,-2.49,31.4,attention
47.51,22.14,63.08,201.84,-1.81,-1.51,1.41,-48.17,attention
11.34,25.19,36.77,563.74,-21.27,1.13,2.21,9.32,critical
39.36,22.1,37.85,896.24,3.48,-1.72,3.47,-56.19,normal
62.41,33.24,44.63,653.27,-3.32,3.71,-3.06,-23.35,attention
53.88,25.9,64.99,883.35,-3.2,0.63,-1.87,37.95,normal
49.4,21.85,19.96,746.02,2.98,-1.86,-9.04,15.74,critical
46.95,36.11,62.93,474.43,-0.37,5.34,0.19,46.71,attention
47.12,24.6,49.45,638.68,-0.05,1.09,-2.44,48.05,normal
33.59,30.38,32.74,182.37,-8.09,5.97,-3.39,12.62,attention
51.93,46.87,54.83,334.67,-3.64,6.81,3.97,-46.07,critical
43.98,22.46,50.01,147.45,0.58,0.3,3.94,-118.13,attention
18.09,39.78,14.85,60.76,-12.92,7.05,-6.65,-103.76,critical
54.9,43.11,54.76,878.76,-1.35,9.11,-3.15,-48.17,critical
50.35,19.53,44.04,679.77,1.61,-1.47,-2.83,-21.35,normal
53.8,20.54,13.23,488.38,3.32,1.46,-16.38,44.51,critical
60.28,22.68,43.37,385.39,-3.03,1.41,-2.28,38.95,normal
14.56,21.43,53.56,347.78,-16.04,-1.58,1.75,-45.87,critical
63.31,21.78,47.53,156.94,1.29,-1.64,0.35,-139.76,attention
63.99,24.25,11.2,305.58,3.12,0.0,-7.55,-14.2,critical
62.46,19.93,55.07,647.94,-1.43,1.53,-0.65,13.08,normal
42.15,21.25,20.8,819.43,0.44,-1.59,-10.56,42.14,attention
41.11,27.2,50.0,624.12,-0.49,0.45,2.23,13.36,normal
48.9,19.49,42.46,131.4,0.48,0.48,-0.21,-83.32,attention
28.55,31.29,25.85,196.8,-4.81,5.04,-3.01,-59.4,attention
44.94,25.36,36.27,75.93,-1.01,0.47,1.33,-316.22,critical
54.34,23.36,5.88,581.53,-0.89,-1.28,-6.1,-33.72,critical
33.59,32.43,25.41,252.72,-6.0,3.16,0.06,-4.47,attention
42.57,20.14,55.41,620.94,-2.26,0.8,2.14,-39.87,normal
47.38,23.97,36.38,420.86,0.96,1.12,2.96,39.6,normal
26.43,24.43,42.24,808.21,-11.66,0.84,3.75,-12.45,attention
5.27,21.55,55.68,571.44,-8.87,-1.82,-0.84,11.92,critical
57.77,21.55,55.25,656.33,-3.25,1.81,-2.12,-22.75,normal
15.55,24.25,37.41,440.07,-17.11,1.37,1.38,-25.71,critical
52.36,20.9,40.68,793.35,-3.82,-1.83,0.59,-40.66,normal
32.05,30.85,30.96,209.71,-9.37,3.05,-2.06,56.26,attention
42.46,24.53,53.89,674.26,-0.01,1.53,-0.17,-49.47,normal
46.8,19.39,20.35,286.82,3.47,0.06,-6.18,5.16,attention
60.24,23.97,13.74,266.19,-3.4,1.53,-16.22,5.47,critical
12.52,43.79,12.81,97.83,-8.72,10.49,-9.81,-76.12,critical
62.12,42.79,45.71,781.9,2.88,7.07,-2.91,-21.52,critical
4.01,24.57,62.99,898.06,-20.28,-1.76,1.16,24.16,critical
43.65,32.24,58.2,280.62,1.28,3.5,3.49,46.68,attention
41.08,36.29,61.64,520.08,0.97,3.12,3.44,43.75,attention
15.99,38.67,14.23,125.73,-6.89,5.95,-7.99,-118.5,critical
26.75,32.18,29.94,199.52,-5.41,2.52,-0.36,46.34,attention
66.6,39.19,43.09,851.76,-3.07,10.25,-3.56,19.93,critical
31.07,31.34,31.09,232.63,-5.15,2.6,3.8,38.21,attention
51.87,21.43,62.84,700.42,-2.24,-0.7,2.15,-53.29,normal
58.61,27.46,57.37,386.1,-0.55,1.8,3.37,14.78,normal
57.63,21.0,42.48,205.12,-0.64,1.55,-1.03,-135.3,attention
55.2,25.39,6.32,333.71,-3.83,-0.7,-7.87,14.18,critical
51.15,19.07,38.62,269.42,-2.26,-0.32,2.29,-0.19,normal
51.75,33.22,64.89,306.89,-2.29,3.79,3.47,45.7,attention
12.23,37.89,22.48,85.64,-19.77,8.09,-13.34,-232.72,critical
6.56,27.64,49.76,612.85,-17.81,1.35,-1.93,39.7,critical
22.86,19.43,39.36,544.36,-8.05,-0.99,1.61,-35.34,attention
39.52,40.75,48.56,723.64,-0.03,8.68,-0.59,-17.53,critical
66.19,19.29,15.34,810.66,2.21,-0.17,-17.86,2.18,critical
19.34,43.81,22.92,129.37,-13.54,8.3,-12.8,-247.2,critical
66.12,19.36,62.93,642.0,2.19,0.5,2.75,-23.86,normal
31.1,31.72,26.2,240.58,-8.79,5.95,0.57,2.02,attention
42.04,44.92,51.38,291.09,3.48,7.04,-0.14,1.0,critical
38.58,39.99,65.0,483.97,1.2,6.12,1.21,30.51,critical
61.9,23.93,41.47,824.58,-0.5,-1.0,1.72,17.52,normal
46.6,24.69,40.2,367.25,2.46,-0.65,1.05,8.6,normal
41.17,27.65,54.43,790.37,1.66,-0.26,1.87,55.86,normal
27.07,24.99,46.85,357.69,-10.65,-1.73,2.65,-48.81,attention
28.6,19.58,36.61,614.51,-6.26,-1.97,1.66,-52.94,attention
62.67,34.89,39.14,409.65,-3.8,6.18,0.49,49.83,attention
51.62,25.19,62.79,764.21,1.0,0.64,3.47,-8.98,normal
31.62,28.37,28.14,184.01,-6.66,5.72,-1.63,56.25,attention
49.95,21.51,28.92,754.93,-1.19,0.04,-10.96,41.24,attention
7.14,43.24,13.68,94.05,-13.18,9.42,-6.21,-187.6,critical
61.43,21.0,41.75,516.37,1.49,1.75,-3.33,10.33,normal
43.45,21.34,45.49,145.23,-1.3,1.52,-1.77,-205.26,attention
60.51,24.13,10.11,475.29,-0.05,-0.7,-7.44,-17.42,critical
47.16,23.97,41.1,648.24,2.73,1.43,-2.88,4.63,normal
22.49,26.92,57.09,830.73,-11.17,-0.05,3.1,-7.12,attention
61.53,43.72,36.36,524.84,2.23,7.02,0.48,59.13,critical
61.27,44.77,62.0,811.69,-0.14,7.38,-0.94,34.64,critical
40.22,20.55,56.69,898.25,2.48,1.87,3.89,20.14,normal
43.41,34.46,45.65,891.45,-1.49,3.79,-0.38,-34.87,attention
53.07,24.31,61.22,819.48,-0.48,0.1,-0.34,26.69,normal
62.65,25.03,57.15,474.88,-3.91,-1.16,1.55,-17.94,normal
5.91,25.96,61.93,691.44,-16.45,0.96,-3.98,43.04,critical
61.7,33.5,38.11,712.92,0.2,5.69,0.16,34.35,attention
65.52,19.67,21.16,386.56,1.17,1.24,-3.52,41.67,attention
24.99,26.82,50.23,890.01,-10.19,-0.88,-2.22,9.2,attention
53.97,22.7,36.49,722.2,0.29,-0.85,0.02,23.74,normal
62.19,46.37,62.51,278.05,1.6,10.86,0.51,7.57,critical
43.72,22.04,57.96,185.85,1.07,0.69,-3.01,-47.89,attention
8.12,21.99,62.99,773.43,-23.38,1.24,-1.87,34.48,critical
54.83,27.98,14.15,501.17,3.65,-0.16,-15.69,5.55,critical
5.68,42.36,16.14,22.01,-15.68,10.71,-12.24,-114.43,critical
26.35,25.62,50.02,489.63,-9.34,-0.05,-3.5,-15.67,attention
45.02,27.25,52.71,629.58,2.18,1.27,-2.1,45.15,normal
66.44,39.23,47.7,406.19,1.82,10.27,1.87,10.76,critical
52.81,25.8,60.97,357.82,-2.72,0.72,0.77,-13.83,normal
40.97,23.4,20.94,868.97,-3.74,-0.52,-5.83,54.07,attention
59.6,21.66,8.86,407.21,0.56,-1.02,-8.14,53.22,critical
60.81,21.21,20.01,522.42,-2.14,-0.61,-6.08,45.26,attention
17.71,21.45,47.19,804.43,-10.49,0.6,2.38,-46.43,critical
57.18,19.23,43.98,402.85,1.89,0.71,3.14,-49.57,normal
